No,CSO Name,ImageURL,Website,More_info,WADMKK,WADMPR,type,Context,Advocacy,Coastal Waste Management,Education,Institutional Strengthening and Human Resource Capacity Building,Mangrove Ecotourism,Mangrove Rehabilitation or Restoration,Research,Strengthening Regulations,Sustainable Aquaculture
101,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/dc927bf447024492a201f3ddf2712df8/,Banyuwangi,Jawa Timur,Kabupaten,Restoring Coastal Landscape for Adaptation Integrated Mitigation (ReCLAIM),,,,✓,,,✓,,
102,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/dc927bf447024492a201f3ddf2712df8/,Demak,Jawa Tengah,Kabupaten,Restoring Coastal Landscape for Adaptation Integrated Mitigation (ReCLAIM),,,,✓,,,✓,,
103,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Katingan,Kalimantan Tengah,Kabupaten,SWAM,,,,✓,,,✓,✓,
104,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Langkat,Sumatera Utara,Kabupaten,SWAM,,,,✓,,,✓,✓,
105,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Kubu Raya,Kalimantan Barat,Kabupaten,SWAM,,,,✓,,,✓,✓,
106,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Bengkalis,Riau,Kabupaten,SWAM,,,,✓,,,✓,✓,
107,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Teluk Bintuni,Papua Barat,Kabupaten,SWAM,,,,✓,,,✓,✓,
108,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Kotawaringin Barat,Kalimantan Tengah,Kabupaten,SWAM,,,,✓,,,✓,✓,
109,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Serang,Banten,Kabupaten,Research on the Coupling Process and Driving Mechanisms of Biodiversity and Blue Carbon Function in Mangrove Ecosystems,,,,,,,✓,,
110,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Banyuwangi,Jawa Timur,Kabupaten,Research on the Coupling Process and Driving Mechanisms of Biodiversity and Blue Carbon Function in Mangrove Ecosystems,,,,,,,✓,,
111,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Demak,Jawa Tengah,Kabupaten,Research on the Coupling Process and Driving Mechanisms of Biodiversity and Blue Carbon Function in Mangrove Ecosystems,,,,,,,✓,,
112,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/f118af15ea4746bbd41908dd136c2045/,Kota Administrasi Jakarta Utara,DKI Jakarta,Kota,Advancing Demonstration in Mangrove-based Adaptation to Foster Stakeholder Participation in Climate Change Agenda (ADAPT,,,,,,,✓,✓,
113,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Banyuwangi,Jawa Timur,Kabupaten,E-BLUE,,,✓,,,,✓,,
114,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,,Banyuasin,Sumatera Selatan,Kabupaten,E-BLUE,,,✓,,,,✓,,
